bioguide_id,full_name,state,district,party,gender,birthday,age_at_vote,first_house_term_start,house_tenure_years,total_terms
M000317,Nicole Malliotakis,NY,11,Republican,F,1980-11-11,45.7,2021-01-03,5.5,3
N000002,Jerrold Nadler,NY,12,Democrat,M,1947-06-13,79.1,1992-11-03,33.7,18
E000297,Adriano Espaillat,NY,13,Democrat,M,1954-09-27,71.8,2017-01-03,9.5,5
O000172,Alexandria Ocasio-Cortez,NY,14,Democrat,F,1989-10-13,36.8,2019-01-03,7.5,4
T000486,Ritchie Torres,NY,15,Democrat,M,1988-03-12,38.3,2021-01-03,5.5,3
L000606,George Latimer,NY,16,Democrat,M,1953-11-22,72.6,2025-01-03,1.5,1
L000599,Michael Lawler,NY,17,Republican,M,1986-09-09,39.8,2023-01-03,3.5,2
R000579,Patrick Ryan,NY,18,Democrat,M,1982-03-28,44.3,2022-09-13,3.8,3
R000622,Josh Riley,NY,19,Democrat,M,1981-01-21,45.5,2025-01-03,1.5,1
T000469,Paul Tonko,NY,20,Democrat,M,1949-06-18,77.1,2009-01-06,17.5,9
S001196,Elise M. Stefanik,NY,21,Republican,F,1984-07-02,42.0,2015-01-06,11.5,6
M001231,John W. Mannion,NY,22,Democrat,M,1968-07-08,58.0,2025-01-03,1.5,1
L000600,Nicholas A. Langworthy,NY,23,Republican,M,1981-02-27,45.4,2023-01-03,3.5,2
T000478,Claudia Tenney,NY,24,Republican,F,1961-02-04,65.4,2017-01-03,9.5,4
M001206,Joseph D. Morelle,NY,25,Democrat,M,1957-04-29,69.2,2018-11-13,7.7,5
K000402,Timothy M. Kennedy,NY,26,Democrat,M,1976-10-20,49.7,2024-05-06,2.2,2
L000601,Greg Landsman,OH,1,Democrat,M,1976-12-04,49.6,2023-01-03,3.5,2
T000490,David J. Taylor,OH,2,Republican,M,1969-11-16,56.7,2025-01-03,1.5,1
B001281,Joyce Beatty,OH,3,Democrat,F,1950-03-12,76.3,2013-01-03,13.5,7
J000289,Jim Jordan,OH,4,Republican,M,1964-02-17,62.4,2007-01-04,19.5,10
L000566,Robert E. Latta,OH,5,Republican,M,1956-04-18,70.2,2007-12-13,18.6,10
R000619,Michael A. Rulli,OH,6,Republican,M,1969-03-11,57.3,2024-06-11,2.1,2
M001222,Max L. Miller,OH,7,Republican,M,1988-11-13,37.7,2023-01-03,3.5,2
D000626,Warren Davidson,OH,8,Republican,M,1970-03-01,56.4,2016-06-09,10.1,6
K000009,Marcy Kaptur,OH,9,Democrat,F,1946-06-17,80.1,1983-01-03,43.5,22
T000463,Michael R. Turner,OH,10,Republican,M,1960-01-11,66.5,2003-01-07,23.5,12
B001313,Shontel M. Brown,OH,11,Democrat,F,1975-06-24,51.1,2021-11-04,4.7,3
B001306,Troy Balderson,OH,12,Republican,M,1962-01-16,64.5,2018-09-05,7.9,5
S001223,Emilia Strong Sykes,OH,13,Democrat,F,1986-01-04,40.5,2023-01-03,3.5,2
J000295,David P. Joyce,OH,14,Republican,M,1957-03-17,69.3,2013-01-03,13.5,7
C001126,Mike Carey,OH,15,Republican,M,1971-03-13,55.3,2021-11-04,4.7,3
H001082,Kevin Hern,OK,1,Republican,M,1961-12-04,64.6,2018-11-13,7.7,5
B001317,Josh Brecheen,OK,2,Republican,M,1979-06-19,47.1,2023-01-03,3.5,2
L000491,Frank D. Lucas,OK,3,Republican,M,1960-01-06,66.5,1993-05-10,33.2,17
C001053,Tom Cole,OK,4,Republican,M,1949-04-28,77.2,2003-01-07,23.5,12
B000740,Stephanie I. Bice,OK,5,Republican,F,1973-11-11,52.7,2021-01-03,5.5,3
B001278,Suzanne Bonamici,OR,1,Democrat,F,1954-10-14,71.7,2012-02-07,14.4,8
B000668,Cliff Bentz,OR,2,Republican,M,1952-01-12,74.5,2021-01-03,5.5,3
D000635,Maxine Dexter,OR,3,Democrat,F,1972-12-05,53.6,2025-01-03,1.5,1
H001094,Val T. Hoyle,OR,4,Democrat,F,1964-02-14,62.4,2023-01-03,3.5,2
B001326,Janelle S. Bynum,OR,5,Democrat,F,1975-01-31,51.4,2025-01-03,1.5,1
S001226,Andrea Salinas,OR,6,Democrat,F,1969-12-06,56.6,2023-01-03,3.5,2
F000466,Brian K. Fitzpatrick,PA,1,Republican,M,1973-12-17,52.6,2017-01-03,9.5,5
B001296,Brendan F. Boyle,PA,2,Democrat,M,1977-02-06,49.4,2015-01-06,11.5,6
E000296,Dwight Evans,PA,3,Democrat,M,1954-05-16,72.2,2016-11-14,9.7,6
D000631,Madeleine Dean,PA,4,Democrat,F,1959-06-06,67.1,2019-01-03,7.5,4
S001205,Mary Gay Scanlon,PA,5,Democrat,F,1959-08-30,66.9,2018-11-13,7.7,5
H001085,Chrissy Houlahan,PA,6,Democrat,F,1967-06-05,59.1,2019-01-03,7.5,4
M001230,Ryan Mackenzie,PA,7,Republican,M,1982-08-03,43.9,2025-01-03,1.5,1
B001327,"Robert P. Bresnahan, Jr.",PA,8,Republican,M,1990-04-22,36.2,2025-01-03,1.5,1
M001204,Daniel Meuser,PA,9,Republican,M,1964-02-10,62.4,2019-01-03,7.5,4
P000605,Scott Perry,PA,10,Republican,M,1962-05-27,64.1,2013-01-03,13.5,7
S001199,Lloyd Smucker,PA,11,Republican,M,1964-01-23,62.5,2017-01-03,9.5,5
L000602,Summer L. Lee,PA,12,Democrat,F,1987-11-26,38.6,2023-01-03,3.5,2
J000302,John Joyce,PA,13,Republican,M,1957-02-08,69.4,2019-01-03,7.5,4
R000610,Guy Reschenthaler,PA,14,Republican,M,1983-04-17,43.2,2019-01-03,7.5,4
T000467,Glenn Thompson,PA,15,Republican,M,1959-07-27,67.0,2009-01-06,17.5,9
K000376,Mike Kelly,PA,16,Republican,M,1948-05-10,78.2,2011-01-05,15.5,8
D000530,Christopher R. Deluzio,PA,17,Democrat,M,1984-07-13,42.0,2023-01-03,3.5,2
H001103,Pablo José Hernández,PR,0,Democrat,M,1991-05-11,35.2,2025-01-03,1.5,1
A000380,Gabe Amo,RI,1,Democrat,M,1987-12-11,38.6,2023-11-07,2.7,2
M001223,Seth Magaziner,RI,2,Democrat,M,1983-07-22,43.0,2023-01-03,3.5,2
M000194,Nancy Mace,SC,1,Republican,F,1977-12-04,48.6,2021-01-03,5.5,3
W000795,Joe Wilson,SC,2,Republican,M,1947-07-31,79.0,2001-12-18,24.6,13
B001325,Sheri Biggs,SC,3,Republican,F,1970-03-28,56.3,2025-01-03,1.5,1
T000480,William R. Timmons IV,SC,4,Republican,M,1984-04-30,42.2,2019-01-03,7.5,4
N000190,Ralph Norman,SC,5,Republican,M,1953-06-20,73.1,2017-06-26,9.0,5
C000537,James E. Clyburn,SC,6,Democrat,M,1940-07-21,86.0,1993-01-05,33.5,17
F000478,Russell Fry,SC,7,Republican,M,1985-01-31,41.4,2023-01-03,3.5,2
J000301,Dusty Johnson,SD,0,Republican,M,1976-09-30,49.8,2019-01-03,7.5,4
H001086,Diana Harshbarger,TN,1,Republican,F,1960-01-01,66.5,2021-01-03,5.5,3
B001309,Tim Burchett,TN,2,Republican,M,1964-08-25,61.9,2019-01-03,7.5,4
F000459,"Charles J. ""Chuck"" Fleischmann",TN,3,Republican,M,1962-10-11,63.8,2011-01-05,15.5,8
D000616,Scott DesJarlais,TN,4,Republican,M,1964-02-21,62.4,2011-01-05,15.5,8
O000175,Andrew Ogles,TN,5,Republican,M,1971-06-18,55.1,2023-01-03,3.5,2
R000612,John W. Rose,TN,6,Republican,M,1965-02-23,61.4,2019-01-03,7.5,4
V000139,Matt Van Epps,TN,7,Republican,M,1983-03-29,43.3,2025-12-04,0.6,1
K000392,David Kustoff,TN,8,Republican,M,1966-10-08,59.8,2017-01-03,9.5,5
C001068,Steve Cohen,TN,9,Democrat,M,1949-05-24,77.1,2007-01-04,19.5,10
M001224,Nathaniel Moran,TX,1,Republican,M,1974-07-22,52.0,2023-01-03,3.5,2
C001120,Dan Crenshaw,TX,2,Republican,M,1984-03-14,42.3,2019-01-03,7.5,4
S001224,Keith Self,TX,3,Republican,M,1953-03-20,73.3,2023-01-03,3.5,2
F000246,Pat Fallon,TX,4,Republican,M,1967-12-19,58.6,2021-01-03,5.5,3
G000589,Lance Gooden,TX,5,Republican,M,1982-12-01,43.6,2019-01-03,7.5,4
E000071,Jake Ellzey,TX,6,Republican,M,1970-01-24,56.5,2021-07-30,5.0,3
F000468,Lizzie Fletcher,TX,7,Democrat,F,1975-02-13,51.4,2019-01-03,7.5,4
L000603,Morgan Luttrell,TX,8,Republican,M,1975-11-07,50.7,2023-01-03,3.5,2
G000553,Al Green,TX,9,Democrat,M,1947-09-01,78.9,2005-01-04,21.5,11
M001157,Michael T. McCaul,TX,10,Republican,M,1962-01-14,64.5,2005-01-04,21.5,11
P000048,August Pfluger,TX,11,Republican,M,1978-12-28,47.5,2021-01-03,5.5,3
G000601,Craig A. Goldman,TX,12,Republican,M,1968-10-03,57.8,2025-01-03,1.5,1
J000304,Ronny Jackson,TX,13,Republican,M,1967-05-04,59.2,2021-01-03,5.5,3
W000814,"Randy K. Weber, Sr.",TX,14,Republican,M,1953-07-02,73.0,2013-01-03,13.5,7
D000594,Monica De La Cruz,TX,15,Republican,F,1974-11-11,51.7,2023-01-03,3.5,2
E000299,Veronica Escobar,TX,16,Democrat,F,1969-09-15,56.8,2019-01-03,7.5,4
S000250,Pete Sessions,TX,17,Republican,M,1955-03-22,71.3,1997-01-07,29.5,14
M001245,Christian D. Menefee,TX,18,Democrat,M,1988-04-18,38.2,2026-02-02,0.4,1
A000375,Jodey C. Arrington,TX,19,Republican,M,1972-03-09,54.3,2017-01-03,9.5,5
C001091,Joaquin Castro,TX,20,Democrat,M,1974-09-16,51.8,2013-01-03,13.5,7
R000614,Chip Roy,TX,21,Republican,M,1972-08-07,53.9,2019-01-03,7.5,4
N000026,Troy E. Nehls,TX,22,Republican,M,1968-04-07,58.3,2021-01-03,5.5,3
V000134,Beth Van Duyne,TX,24,Republican,F,1970-11-16,55.7,2021-01-03,5.5,3
W000816,Roger Williams,TX,25,Republican,M,1949-09-13,76.8,2013-01-03,13.5,7
G000603,Brandon Gill,TX,26,Republican,M,1994-02-26,32.4,2025-01-03,1.5,1
C001115,Michael Cloud,TX,27,Republican,M,1975-05-13,51.2,2018-07-10,8.0,5
C001063,Henry Cuellar,TX,28,Democrat,M,1955-09-19,70.8,2005-01-04,21.5,11
G000587,Sylvia R. Garcia,TX,29,Democrat,F,1950-09-06,75.9,2019-01-03,7.5,4
C001130,Jasmine Crockett,TX,30,Democrat,F,1981-03-29,45.3,2023-01-03,3.5,2
C001051,John R. Carter,TX,31,Republican,M,1941-11-06,84.7,2003-01-07,23.5,12
J000310,Julie Johnson,TX,32,Democrat,F,1966-05-02,60.2,2025-01-03,1.5,1
V000131,Marc A. Veasey,TX,33,Democrat,M,1971-01-03,55.5,2013-01-03,13.5,7
G000581,Vicente Gonzalez,TX,34,Democrat,M,1967-09-04,58.9,2017-01-03,9.5,5
C001131,Greg Casar,TX,35,Democrat,M,1989-05-04,37.2,2023-01-03,3.5,2
B001291,Brian Babin,TX,36,Republican,M,1948-03-23,78.3,2015-01-06,11.5,6
D000399,Lloyd Doggett,TX,37,Democrat,M,1946-10-06,79.8,1995-01-04,31.5,16
H001095,Wesley Hunt,TX,38,Republican,M,1981-11-13,44.7,2023-01-03,3.5,2
M001213,Blake D. Moore,UT,1,Republican,M,1980-06-22,46.1,2021-01-03,5.5,3
M001228,Celeste Maloy,UT,2,Republican,F,1981-05-22,45.1,2023-11-21,2.6,2
K000403,Mike Kennedy,UT,3,Republican,M,1969-02-02,57.4,2025-01-03,1.5,1
O000086,Burgess Owens,UT,4,Republican,M,1951-08-02,74.9,2021-01-03,5.5,3
W000804,Robert J. Wittman,VA,1,Republican,M,1959-02-03,67.4,2007-12-13,18.6,10
K000399,Jennifer A. Kiggans,VA,2,Republican,F,1971-06-18,55.1,2023-01-03,3.5,2
S000185,"Robert C. ""Bobby"" Scott",VA,3,Democrat,M,1947-04-30,79.2,1993-01-05,33.5,17
M001227,Jennifer L. McClellan,VA,4,Democrat,F,1972-12-28,53.5,2023-03-07,3.4,2
M001239,John J. McGuire III,VA,5,Republican,M,1968-08-24,57.9,2025-01-03,1.5,1
C001118,Ben Cline,VA,6,Republican,M,1972-02-29,54.4,2019-01-03,7.5,4
V000138,Eugene Simon Vindman,VA,7,Democrat,M,1975-06-06,51.1,2025-01-03,1.5,1
B001292,"Donald S. Beyer, Jr.",VA,8,Democrat,M,1950-06-20,76.1,2015-01-06,11.5,6
G000568,H. Morgan Griffith,VA,9,Republican,M,1958-03-15,68.3,2011-01-05,15.5,8
S001230,Suhas Subramanyam,VA,10,Democrat,M,1986-09-26,39.8,2025-01-03,1.5,1
W000831,James R. Walkinshaw,VA,11,Democrat,M,1982-10-22,43.7,2025-09-10,0.8,1
P000610,Stacey E. Plaskett,VI,0,Democrat,F,1966-05-13,60.2,2015-01-06,11.5,6
B001318,Becca Balint,VT,0,Democrat,F,1968-05-04,58.2,2023-01-03,3.5,2
D000617,Suzan K. DelBene,WA,1,Democrat,F,1962-02-17,64.4,2012-11-13,13.7,8
L000560,Rick Larsen,WA,2,Democrat,M,1965-06-15,61.1,2001-01-03,25.5,13
G000600,Marie Gluesenkamp Perez,WA,3,Democrat,F,1988-06-06,38.1,2023-01-03,3.5,2
N000189,Dan Newhouse,WA,4,Republican,M,1955-07-10,71.0,2015-01-06,11.5,6
B001322,Michael Baumgartner,WA,5,Republican,M,1975-12-13,50.6,2025-01-03,1.5,1
R000621,Emily Randall,WA,6,Democrat,F,1985-10-30,40.7,2025-01-03,1.5,1
J000298,Pramila Jayapal,WA,7,Democrat,F,1965-09-21,60.8,2017-01-03,9.5,5
S001216,Kim Schrier,WA,8,Democrat,F,1968-08-23,57.9,2019-01-03,7.5,4
S000510,Adam Smith,WA,9,Democrat,M,1965-06-15,61.1,1997-01-07,29.5,15
S001159,Marilyn Strickland,WA,10,Democrat,F,1962-09-25,63.8,2021-01-03,5.5,3
S001213,Bryan Steil,WI,1,Republican,M,1981-03-30,45.3,2019-01-03,7.5,4
P000607,Mark Pocan,WI,2,Democrat,M,1964-08-14,61.9,2013-01-03,13.5,7
V000135,Derrick Van Orden,WI,3,Republican,M,1969-09-15,56.8,2023-01-03,3.5,2
M001160,Gwen Moore,WI,4,Democrat,F,1951-04-18,75.2,2005-01-04,21.5,11
F000471,Scott Fitzgerald,WI,5,Republican,M,1963-11-16,62.7,2021-01-03,5.5,3
G000576,Glenn Grothman,WI,6,Republican,M,1955-07-03,71.0,2015-01-06,11.5,6
T000165,Thomas P. Tiffany,WI,7,Republican,M,1957-12-30,68.5,2020-05-19,6.2,4
W000829,Tony Wied,WI,8,Republican,M,1976-05-03,50.2,2024-11-05,1.7,2
M001205,Carol D. Miller,WV,1,Republican,F,1950-11-04,75.7,2019-01-03,7.5,4
M001235,Riley M. Moore,WV,2,Republican,M,1980-07-01,46.0,2025-01-03,1.5,1
H001096,Harriet M. Hageman,WY,0,Republican,F,1962-10-18,63.7,2023-01-03,3.5,2
